Title | Year | RQ1_Datasets | RQ1_Image_Count | RQ1_Class_Balance | RQ2_Preprocessing | RQ2_Augmentation | RQ3_RQ4_Seg_Scope | RQ5_RQ6_Class_Scope | RQ7_Model_Architecture | RQ7_Novelty | RQ7_Transfer_Learning | RQ8_Metrics_Used | RQ8_Best_Result | RQ8_SOTA_Compare | RQ9_Limitations | RQ10_Future_Work
Techniques and algorithms for computer aided diagnosis of pigmented skin lesions—A review | 2018 | Public: ISIC Archive (2016/2017 ISBI Challenge), PH2, Dermatology Atlas, Dermnet, Danderm, EDRA, Dermofit, Dermquest, Dermis | Mentioned up to 23,000 (Dermnet)  | Yes (Method used: random selection of minority class instances with equal majority class instances)  | Hair removal (Dull Razor, Eshaver), Resizing, Masking, Filtering (Median, Anisotropic, Gabor), Color space conversion (CIELab, HSV), Illumination correction  | Rotation, Cropping, Upsampling  | Both  | Both (Binary: Malignant/Benign; Multi-class: Melanoma/Nevus/Seborrheic keratosis)  | GoogleNet Inception V3, ResNet50, VGG-16, AlexNet, FCRN, U-Net  | Ensemble (CNN ensembles), Transfer Learning  | Yes (ImageNet)  | ACC, Sensitivity (SE), Specificity (SP), Jaccard Index (JI), Dice, AUC, XOR Error, FPR  | ACC: 95.3% (Segmentation), 91.6% (Feature detection), 85.5% (Classification)  | Yes  | Limited availability of annotated datasets for evolution/elevation; artifacts and poor contrast causing segmentation errors; vanishing gradients in deep networks; inter-observer variability  | Explore lesion elevation and evolution features; develop publicly available annotated datasets for 3D/temporal analysis; investigate decorrelated color spaces for segmentation; fusion of geometrical and dermoscopic features  | 10
The development of a skin cancer classification system for pigmented skin lesions using deep learning  | 2016  | Public: Dermatology Atlas, Dermnet, and ISIC Archive  | 1,300 images (approx. 500 for training, 800 for testing)  | No; minority classes (Melanoma, BCC) were balanced with majority classes (Nevi) during training  | Hair removal (Dull Razor), median filtering, and color space conversion (CIE Luv*)  | Rotation, flipping, and zooming  | Lesion Boundary (using active contours/snakes and thresholding)  | Both; Binary (Malignant vs. Benign) and Multi-class (Melanoma, Nevus, BCC, SK, and others)  | Artificial Neural Networks (ANN), Deep Convolutional Neural Networks (DCNN), and ANFIS  | Transfer Learning and Ensemble  | Yes (ImageNet and GoogleNet)  | ACC, Sensitivity, Specificity, and AUC  | ACC: 93.6% (using ANN)  | Yes (compared against dermatologists and standard SVM)  | Limited datasets for rare diseases; potential for over-fitting with small training samples; computational cost of large networks  | Integration of clinical data (age, history); 3D imaging for lesion thickness; and deployment as smartphone applications  | 9
The effect of choosing optimizer algorithms to improve computer vision tasks: a comparative study  | 2016 | Public: ISIC Archive  | 900 (Training), 379 (Testing)  | No reported  | Resizing, Color normalization  | Rotation, Flip  | N/A | Binary (Malignant vs. Benign)  | CNN (LeNet-like)  | Standard (Comparative study of optimizers)  | No  | ACC, Sensitivity, Specificity  | ACC: 85.5%  | Yes  | Small dataset size for deep learning training  | Exploring different architectures and larger datasets  | 8
The impact of patient clinical information on automated skin cancer detection  | 2020  | PAD dataset (Private dataset from the Federal University of Espírito Santo) , ImageNet (for pre-training) , ISIC (referenced for context)  | 1,612 images  | No (Imbalanced); Method: Weighted loss function and one-hot encoding for clinical data  | Removal of poor resolution/blurred images , resizing (implied by CNN use) , and Shades of Gray color constancy algorithm  | Brightness, contrast, saturation, hue, horizontal/vertical rotations, translations, re-scale, shear, Gaussian noise, and blur  | N/A  | Multi-class (ACK, BCC, MEL, NEV, SCC, SEK)  | GoogleNet, VGGNet-13, VGGNet-19, ResNet-50, ResNet-101, MobileNet  | Feature Aggregation mechanism (Feature Reducer block with Combination Factor)  | Yes (ImageNet)  | ACC, BACC, Precision, Recall, F1, AUC  | BACC: 75.0% (ResNet-50 with clinical data); AUC: 0.958  | Yes  | Confusion between SCC and BCC due to shared clinical features ; cannot handle missing clinical data ; limited to one image per lesion  | Incorporate multiple images per lesion ; include biopsy-proven images ; add out-of-distribution detection  | 9
Transfer learning using a multi-scale and multi-network ensemble for skin lesion classification | 2020 | Public (ISIC 2016, ISIC 2017, ISIC 2018/HAM10000) | 12,927 training images; 1,512 test images  | No (Heavily imbalanced); Weighted focal loss and class-weighted batching  | Grayworld color constancy, ImageNet mean subtraction, initial resizing to 450 X N', and multi-scale cropping/resizing| Random scaling, rotations, vertical/horizontal flipping, brightness/contrast shifts, adaptive histogram equalization, random cutouts, and HSV manipulations  | N/A | Multi-class (MEL, NV, BCC, AKIEC, BKL, DF, VASC)  | EfficientNetB0, EfficientNetB1, SeResNeXt-50  | MSM-CNN three-level ensemble strategy utilizing multiple scales and network architectures  | Yes (ImageNet)  | BMCA (Balanced Multi-class Accuracy/Average Recall), Precision, Accuracy, AUC  | BMCA: 86.2%; avg. PR: 91.3%; avg. AUC: 98.1%  | Yes  | High computational training time due to large number of sub-models (90); limited number of pre-trained networks explored  | Exploring additional pre-trained networks; investigating intermediate image resolutions; parallelization for clinical efficiency  | 10
Uncertainty quantification in skin cancer classification using three-way decision-based Bayesian deep learning | 2021 | Kaggle Skin Cancer dataset; ISIC 2019 dataset (subset)  | Dataset 1: 3,297 images; Dataset 2: 9,042 images  | No (Imbalanced); Method: Bayesian Optimization for hyperparameter tuning and early stopping  | Resizing| N/A | N/A | Binary (Dataset 1: Benign vs. Malignant; Dataset 2: Melanoma vs. non-Melanoma)  | ResNet152V2, MobileNetV2, DenseNet201, InceptionResNetV2  | Hybrid dynamic model (TWDBDL) based on Three-Way Decision theory and Bayesian Deep Learning  | Yes (ImageNet)  | Accuracy, F1-score, Entropy, STD, AUC  | Dataset 1: Accuracy: 88.95%, F1: 89.00%; Dataset 2: Accuracy: 90.96%, F1: 91.00%  | Yes  | Cannot improve diagnosis for all criteria across both classes; high computational cost for Deep Ensemble (DE)  | Integrate MC-DropConnect; incorporate attention-based mechanisms; study robustness against noise  | 9
Understanding skin color bias in deep learning-based skin lesion segmentation  | 2024  | PH2, Waterloo, Dermofit, ISIC 2018 (initialization only), Fitzpatrick-17k (pre-training), DDI and PAD-UFES-20 (fine-tuning)  | 1,758 (evaluation set)  | No; uses stratified sampling to address imbalance  | Dullrazor (artifact removal), CLAHE of L channel, CIELAB conversion  | Random scaling, translation, rotation, horizontal and vertical flipping  | Lesion Boundary  | N/A | U-Net with ResNet-18 encoder; VGG16 (for skin type classification)  | Standard (evaluating existing models for bias)  | Yes (Weights from ISIC 2018; VGG16 weights from ImageNet)  | DSC, HD, ASSD  | DSC: 0.904 (Light skin, in-sample)  | Yes  | Significant performance drop for dark skin; limited diversity in public datasets; simple preprocessing (stratification/CIELAB) fails to mitigate bias  | Collect diverse datasets with demographic metadata; standardize labeling guidelines; use probabilistic/fuzzy labels for gradual borders; report fairness metrics beyond mean results  | 10
Universal adversarial attacks on deep neural networks for medical image classification | 2021 | ISIC 2018 (Skin lesions), OCT (Diabetic Retinopathy), Chest X-ray (Pneumonia) | 10,015 (Skin lesions dataset total) | No; Oversampling used for skin lesion classification to account for imbalance  | Resizing to 299x299 pixels  | Random rotations (-5° to 5°), random height/width shifts (5%)  | N/A | Multi-class (MEL, NV, BCC, AKIEC, BKL, DF, VASC)  | Inception V3, VGG16, VGG19, ResNet50, Inception ResNet V2, DenseNet 121, DenseNet 169  | Transfer Learning; Adversarial Retraining for defense  | Yes [ImageNet]  | Test Accuracy, Fooling Rate (Rf), Targeted Attack Success Rate (Rs)  | Skin Lesion Test Accuracy: 87.7% (Inception V3); Fooling Rate > 90% (under attack)  | Yes (compared against healthcare professionals' equivalent performance and previous adversarial study assumptions)  | Universal Adversarial Perturbations (UAPs) are architecture-specific with limited transferability in medical imaging; adversarial retraining provides limited protection against nontargeted attacks  | Development of secure, privacy-preserving, and federated DNNs for medical imaging; evaluation of black-box adversarial attack methods  | 9
Validation of artificial intelligence prediction models for skin cancer diagnosis using dermoscopy images: the 2019 International Skin Imaging Collaboration Grand Challenge  | 2022  | HAM10000 (Vienna) , BCN20000 (Barcelona) , and test data from Turkey, New Zealand, Sweden, and Argentina  | 33,569 (25,331 training  + 8,238 test ) | No; training set was balanced by source and category , but test datasets were independent and unbalanced  | Resizing (implied by architectures like EfficientNet) ; specific preprocessing like hair removal not specified as a requirement  | Not specified (determined by individual challenge participants)  | N/A  | Both: Binary (Malignancy ) and Multi-class (Nevus, Melanoma, Benign Keratosis, Dermatofibroma, BCC, SCC, Vascular Lesion, Actinic Keratosis, and Not Trained ) | EfficientNet and ResNet ensembles (top performing models)  | Ensemble  | Yes (implied by use of state-of-the-art architectures)  | Balanced Accuracy , AUROC , sAUROC , Sensitivity  | Balanced Accuracy: 63.6% (top algorithm); 58.8% on realistic BCN20000 data  | Yes  | Poor generalizability to shifted statistical distributions , inability to identify untrained (out-of-distribution) categories , and performance degradation due to image artifacts  | Prospective dataset design, closely supervised clinical trials, and developing robust methods to identify images outside of training distributions ("failing safely")  | 10
What is AI? Applications of artificial intelligence to dermatology  | 2020  | ISIC database (Public) , ImageNet (Public) , and various private datasets cited within (e.g., Esteva et al. dataset)  | >127,463 (Esteva et al.), >20,000 (ISIC)  | No (Trade-off between sensitivity and specificity noted across various reviewed datasets)  | None reported (specific image-level steps like hair removal or resizing before the model are not detailed in this review)  | None reported  | N/A | Both: Binary (Malignant vs. Benign) and Multi-class (7 diagnoses including Melanoma, Nevus, BCC, etc.)  | GoogLeNet Inception v3, Microsoft ResNet, AlexNet  | Transfer Learning  | Yes (ImageNet)  | Sensitivity, Specificity, AUROC/AUC  | AUC: 0.96 (Carcinoma), AUC: 0.94 (Melanoma)  | Yes  | Lack of generalizability, "black box" nature (lack of explainability), bias in training datasets (rare lesions like amelanotic melanoma), and legal/liability issues  | Real-world clinical trials, developing explainable AI, focus on digitally ready workforces, and integration as a clinical decision aid rather than replacement  | 8
A Convolutional Neural Network Framework for Accurate Skin Cancer Detection  | 2020  | HAM10000  | 10,015  | No; unbalanced (7:1 ratio for nevi)  | Resizing| Horizontal/vertical flipping, random rotations [-90, 90]  | N/A  | Both: Binary (Nevi vs. Non-nevi); Multi-class (7 classes: akiec, bcc, bkl, df, nv, mel, vasc)  | DenseNet201, GoogLeNet, Inception-ResNetV2, Inception V3, MobileNetV2  | Transfer Learning and Hierarchical framework  | Yes [ImageNet]  | Accuracy, Precision, Recall, F-measure, Balanced Accuracy  | ACC: 96.18% (Training), 87.73% (Testing); F-measure: 0.9251 (Binary)  | Yes  | Class imbalance, high intra-class variance, and model overfitting in the hierarchical 2nd level  | Testing more networks, different hierarchies, and including specific preprocessing/probabilistic prediction techniques  | 9
A deep learning system for differential diagnosis of skin diseases  | 2020  | Private teledermatology practice data (17 sites)  | 79,720 (64,837 development + 14,883 validation)  | No; class weighting used in loss function to account for imbalance  | Resizing (459 x 459 pixels)  | Random flipping, rotating, cropping, and color perturbation  | N/A  | Multi-class (26 common conditions + "Other" category, plus a 419-class secondary prediction)  | Inception-v4  | Ensemble (6 networks) and Late Fusion (integrating images and metadata)  | Yes (ImageNet)  | Top-k accuracy (Top-1, Top-3), Top-k sensitivity, Average Overlap (AO)  | Top-1 Accuracy: 0.66 (on validation set B), Top-3 Accuracy: 0.93 (on validation set A)  | Yes (Compared against 18 board-certified dermatologists, PCPs, and NPs)  | Lack of external validation dataset; reliance on de-identified structured metadata instead of free-text notes; limited data for uncommon skin types (Fitzpatrick I, V, VI)  | Validate on full spectrum of primary care cases (including non-referred); test on more diverse devices, geographies, and skin types; assess optimal clinical implementation  | 9
